t,seen,trust,why,tgt_pinky,tgt_ring,tgt_middle,tgt_index,tgt_thumb_bend,tgt_thumb_rot,curl_pinky,curl_ring,curl_middle,curl_index,thumb_flexion,opposition,ang_pinky,ang_ring,ang_middle,ang_index,ang_thumb_bend,ang_thumb_rot,cur_pinky,cur_ring,cur_middle,cur_index,cur_thumb_bend,cur_thumb_rot,sta_pinky,sta_ring,sta_middle,sta_index,sta_thumb_bend,sta_thumb_rot,gain_pinky,gain_ring,gain_middle,gain_index,gain_thumb_bend,gain_thumb_rot,sent_pinky,sent_ring,sent_middle,sent_index,sent_thumb_bend,sent_thumb_rot,sent,mode,applying,deg
1786353675.215214,1,1,,1764.0000,1820.0000,1798.0000,1850.0000,1339.0000,1172.0000,53.552,44.167,47.865,26.352,38.130,70.765,1804,1786,1766,1782,1339,1320,0,0,0,0,25,89,1,0,0,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1793.0946,1850.0000,1773.5149,1850.0000,1347.2859,1056.1561,1,on,1,1.5000
1786353675.251135,1,1,,1747.0000,1804.0000,1761.0000,1850.0000,1353.0000,1171.0000,56.259,46.942,53.986,30.190,36.019,70.787,1804,1786,1766,1782,1341,1294,20,0,16,0,13,88,1,0,0,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1793.0946,1850.0000,1773.5149,1850.0000,1347.2859,1090.1342,1,on,1,1.5000
1786353675.283101,1,1,,1744.0000,1800.0000,1772.0000,1850.0000,1363.0000,1204.0000,56.848,47.591,52.255,32.056,34.353,68.106,1804,1786,1766,1782,1342,1277,0,0,27,0,11,101,1,0,0,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1780.6188,1838.7828,1773.5149,1850.0000,1347.2859,1120.9574,1,on,1,1.5000
1786353675.314910,1,1,,1725.0000,1801.0000,1769.0000,1850.0000,1374.0000,1215.0000,59.921,47.369,52.636,33.880,32.632,67.218,1804,1786,1773,1782,1343,1253,10,0,12,0,0,101,1,0,0,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1780.6188,1838.7828,1773.5149,1850.0000,1347.2859,1144.8690,1,on,1,1.5000
1786353675.351122,1,1,,1669.0000,1769.0000,1747.0000,1833.0000,1375.0000,1229.0000,69.296,52.625,56.294,42.055,28.241,66.136,1804,1786,1774,1782,1343,1226,44,0,0,0,26,97,1,0,0,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1752.4307,1824.7831,1773.5149,1850.0000,1347.2859,1165.9599,1,on,1,1.5000
1786353675.383074,1,1,,1605.0000,1749.0000,1694.0000,1760.0000,1375.0000,1215.0000,79.967,56.047,65.087,54.227,28.034,67.253,1803,1786,1774,1782,1344,1201,113,0,0,0,24,98,1,0,0,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1715.5533,1812.3073,1763.5095,1837.9002,1347.2859,1165.9599,1,on,1,1.5000
1786353675.415052,1,1,,1505.0000,1727.0000,1699.0000,1783.0000,1375.0000,1117.0000,96.600,59.584,64.274,50.380,13.734,75.218,1790,1786,1774,1782,1345,1180,134,0,0,0,15,17,1,0,1,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1646.8524,1796.1732,1753.9504,1837.9002,1347.2859,1165.9599,1,on,1,1.5000
1786353675.451115,1,1,,1530.0000,1718.0000,1689.0000,1720.0000,1375.0000,1113.0000,92.455,61.230,66.025,60.896,17.920,75.537,1764,1786,1774,1782,1346,1177,134,0,16,0,0,43,1,0,1,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1609.6855,1780.0360,1742.8871,1807.0069,1347.2859,1165.9599,1,on,1,1.5000
1786353675.483104,1,1,,1449.0000,1668.0000,1652.0000,1711.0000,1375.0000,1213.0000,105.829,69.407,72.120,62.319,13.349,67.395,1747,1786,1773,1782,1346,1173,130,0,102,0,0,28,1,1,1,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1559.1485,1754.9000,1725.7310,1786.5984,1357.2977,1165.9599,1,on,1,1.5000
1786353675.515085,1,1,,1415.0000,1632.0000,1621.0000,1723.0000,1375.0000,1279.0000,111.489,75.404,77.191,60.396,18.705,62.048,1720,1786,1752,1782,1346,1172,109,0,67,0,0,0,1,1,1,1,0,1,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1513.6944,1723.9335,1702.8179,1774.1600,1357.2977,1186.7013,1,on,1,1.5000
1786353675.551064,1,0,handedness unsure,1361.0000,1669.0000,1612.0000,1725.0000,1371.0000,1399.0000,120.489,69.334,78.788,60.010,33.164,52.338,1703,1786,1744,1782,1346,1171,120,46,47,0,19,22,1,1,1,1,0,0,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1462.4403,1711.7057,1681.5224,1774.1600,1357.2977,1186.7013,1,on,1,1.5000
1786353675.583088,1,1,,1358.0000,1720.0000,1534.0000,1718.0000,1375.0000,1389.0000,120.939,60.881,91.735,61.223,29.142,53.135,1676,1779,1739,1782,1347,1171,82,114,47,0,44,23,1,1,1,1,0,0,6.0177,6.0177,6.0177,6.0177,6.4208,12.3552,1432.6017,1711.7057,1642.2960,1758.0052,1357.2977,1243.2394,1,on,1,1.5000
