axis=2 center=525 amp=300 duration_s=10
wake=ok after 1ms
ang_start=998 ang_preclose=998 max_dANG_open=0 (moved > 30)
ang_postclose=896 dANG_postclose=102
verdict: DISCONNECT-GATED - flat while open, moved only after ecx_close
phase,t_ms,target,angleact,pos,sta,cur,err
open,5009,225,998,1552,1,0,0
open,5030,225,998,1552,1,0,0
open,5050,225,998,1552,1,0,0
open,5071,225,998,1552,1,0,0
open,5091,225,998,1552,1,0,0
open,5112,225,998,1552,1,0,0
open,5132,225,998,1552,1,0,0
open,5153,225,998,1552,1,0,0
open,5173,225,998,1552,1,0,0
open,5194,225,998,1552,1,0,0
open,5214,225,998,1552,1,0,0
open,5234,225,998,1552,1,0,0
open,5254,225,998,1552,1,0,0
open,5274,225,998,1552,1,0,0
open,5294,225,998,1552,1,0,0
open,5314,225,998,1552,1,0,0
open,5335,225,998,1552,1,0,0
open,5355,225,998,1552,1,0,0
open,5375,225,998,1552,1,0,0
open,5395,225,998,1552,1,0,0
open,5415,225,998,1552,1,0,0
open,5435,225,998,1552,1,0,0
open,5455,225,998,1552,1,0,0
open,5476,225,998,1552,1,0,0
open,5496,225,998,1552,1,0,0
open,5516,825,998,1552,1,0,0
open,5536,825,998,1552,1,0,0
open,5556,825,998,1552,1,0,0
open,5576,825,998,1552,1,0,0
open,5596,825,998,1552,1,0,0
open,5616,825,998,1552,1,0,0
open,5636,825,998,1552,1,0,0
open,5656,825,998,1552,1,0,0
open,5676,825,998,1552,1,0,0
open,5696,825,998,1552,1,0,0
open,5716,825,998,1552,1,0,0
open,5736,825,998,1552,1,0,0
open,5757,825,998,1552,1,0,0
open,5777,825,998,1552,1,0,0
open,5798,825,998,1552,1,0,0
open,5818,825,998,1552,1,0,0
open,5839,825,998,1552,1,0,0
open,5859,825,998,1552,1,0,0
open,5879,825,998,1552,1,0,0
open,5899,825,998,1552,1,0,0
open,5920,825,998,1552,1,0,0
open,5940,825,998,1552,1,0,0
open,5961,825,998,1552,1,0,0
open,5981,825,998,1552,1,0,0
open,6002,225,998,1552,1,0,0
open,6022,225,998,1552,1,0,0
open,6042,225,998,1552,1,0,0
open,6062,225,998,1552,1,0,0
open,6083,225,998,1552,1,0,0
open,6103,225,998,1552,1,0,0
open,6124,225,998,1552,1,0,0
open,6144,225,998,1552,1,0,0
open,6165,225,998,1552,1,0,0
open,6185,225,998,1552,1,0,0
open,6206,225,998,1552,1,0,0
open,6226,225,998,1552,1,0,0
open,6246,225,998,1552,1,0,0
open,6266,225,998,1552,1,0,0
open,6287,225,998,1552,1,0,0
open,6307,225,998,1552,1,0,0
open,6327,225,998,1552,1,0,0
open,6347,225,998,1552,1,0,0
open,6368,225,998,1552,1,0,0
open,6388,225,998,1552,1,0,0
open,6409,225,998,1552,1,0,0
open,6429,225,998,1552,1,0,0
open,6450,225,998,1552,1,0,0
