127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
2.0,-3.0,-6.0,0.0,1.0,-1.0,17.0,8.0
-3.0,-3.0,-3.0,-12.0,-8.0,-6.0,-3.0,-2.0
-16.0,-1.0,3.0,-7.0,0.0,10.0,1.0,-12.0
127.0,127.0,120.0,101.0,127.0,124.0,125.0,126.0
13.0,2.0,0.0,-19.0,-9.0,-6.0,-4.0,10.0
6.0,-1.0,11.0,56.0,14.0,12.0,5.0,9.0
3.0,0.0,-6.0,-7.0,-3.0,9.0,2.0,-1.0
124.0,127.0,127.0,127.0,127.0,121.0,127.0,122.0
8.0,-1.0,1.0,-2.0,-4.0,4.0,0.0,5.0
-2.0,2.0,3.0,-20.0,-10.0,-12.0,-7.0,-7.0
5.0,-3.0,-8.0,-12.0,-10.0,-1.0,-5.0,16.0
127.0,127.0,127.0,127.0,124.0,116.0,127.0,127.0
-3.0,1.0,10.0,39.0,8.0,2.0,-2.0,-5.0
7.0,-1.0,-5.0,-8.0,2.0,0.0,8.0,26.0
-6.0,0.0,0.0,7.0,-7.0,-5.0,-1.0,-33.0
121.0,127.0,127.0,127.0,127.0,127.0,127.0,126.0
-7.0,-2.0,-5.0,-15.0,-5.0,-9.0,-5.0,-8.0
2.0,-5.0,-6.0,1.0,2.0,-1.0,2.0,-1.0
-7.0,-7.0,-9.0,-4.0,-8.0,-6.0,-2.0,1.0
127.0,127.0,127.0,127.0,127.0,125.0,127.0,127.0
5.0,-2.0,3.0,0.0,4.0,4.0,4.0,7.0
-5.0,2.0,-1.0,-13.0,5.0,3.0,-3.0,-10.0
3.0,1.0,1.0,34.0,22.0,15.0,7.0,10.0
121.0,127.0,126.0,125.0,127.0,127.0,127.0,125.0
-1.0,-1.0,-4.0,-17.0,-6.0,-6.0,-2.0,6.0
16.0,5.0,5.0,13.0,-3.0,1.0,2.0,4.0
3.0,-1.0,1.0,6.0,-7.0,-7.0,-5.0,3.0
127.0,127.0,127.0,127.0,127.0,119.0,127.0,127.0
2.0,-2.0,3.0,27.0,0.0,-9.0,-1.0,1.0
11.0,4.0,0.0,-5.0,14.0,-2.0,9.0,5.0
-8.0,1.0,1.0,1.0,-7.0,-15.0,-1.0,-2.0
124.0,124.0,127.0,124.0,127.0,124.0,121.0,122.0
-10.0,-5.0,-14.0,-30.0,-5.0,-1.0,-6.0,-15.0
-1.0,-6.0,0.0,9.0,-6.0,3.0,-1.0,9.0
-7.0,-3.0,-9.0,-23.0,-10.0,9.0,-4.0,-9.0
124.0,127.0,125.0,120.0,99.0,127.0,127.0,124.0
-14.0,2.0,-3.0,-11.0,-4.0,16.0,-3.0,-7.0
-3.0,8.0,13.0,33.0,10.0,8.0,10.0,-6.0
1.0,-5.0,-11.0,-23.0,0.0,8.0,0.0,5.0
127.0,127.0,123.0,116.0,126.0,125.0,117.0,127.0
5.0,1.0,10.0,22.0,4.0,3.0,1.0,2.0
-14.0,-3.0,1.0,6.0,-1.0,-5.0,-5.0,-6.0
5.0,-3.0,0.0,-33.0,-5.0,-18.0,-4.0,2.0
127.0,127.0,124.0,93.0,104.0,100.0,124.0,122.0
3.0,-4.0,-7.0,-5.0,7.0,-16.0,-1.0,1.0
-10.0,-5.0,-1.0,11.0,-13.0,24.0,-5.0,-8.0
7.0,5.0,5.0,-4.0,2.0,-7.0,1.0,9.0
127.0,127.0,127.0,127.0,127.0,127.0,127.0,126.0
9.0,9.0,8.0,9.0,1.0,-4.0,-6.0,-13.0
-3.0,-3.0,-14.0,-31.0,-9.0,-5.0,-2.0,-2.0
11.0,7.0,14.0,43.0,8.0,-3.0,1.0,5.0
127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
3.0,3.0,-1.0,-6.0,-4.0,0.0,0.0,2.0
6.0,5.0,7.0,3.0,-3.0,4.0,0.0,8.0
-3.0,-1.0,-3.0,-6.0,-6.0,0.0,-4.0,-1.0
126.0,127.0,127.0,127.0,121.0,127.0,127.0,127.0
-2.0,-3.0,-2.0,-14.0,-2.0,-5.0,17.0,22.0
14.0,6.0,1.0,14.0,5.0,-12.0,4.0,3.0
5.0,-3.0,-6.0,-28.0,-6.0,-4.0,3.0,8.0
125.0,123.0,124.0,119.0,125.0,127.0,127.0,124.0
15.0,0.0,0.0,3.0,0.0,-2.0,-4.0,9.0
-13.0,-11.0,-13.0,-12.0,-2.0,-13.0,2.0,-1.0
-12.0,-1.0,0.0,-1.0,6.0,-9.0,-4.0,-4.0
124.0,127.0,127.0,127.0,113.0,96.0,117.0,124.0
-6.0,-4.0,-2.0,-1.0,-2.0,3.0,-6.0,-4.0
-14.0,-6.0,-11.0,-17.0,-3.0,-10.0,-5.0,-7.0
-2.0,-7.0,-5.0,5.0,-8.0,2.0,-2.0,-4.0
124.0,127.0,127.0,127.0,127.0,127.0,122.0,127.0
-10.0,-4.0,-2.0,-27.0,-13.0,-40.0,-13.0,-12.0
-1.0,0.0,4.0,24.0,8.0,4.0,-8.0,-6.0
-4.0,-2.0,-9.0,-17.0,-1.0,4.0,-6.0,-3.0
115.0,127.0,127.0,109.0,121.0,127.0,127.0,123.0
-10.0,-1.0,5.0,3.0,-4.0,9.0,5.0,-2.0
0.0,2.0,0.0,7.0,-7.0,4.0,0.0,-8.0
-1.0,2.0,0.0,5.0,5.0,-11.0,-3.0,-1.0
127.0,124.0,121.0,110.0,127.0,127.0,120.0,127.0
-6.0,-1.0,2.0,34.0,9.0,-1.0,-2.0,-27.0
23.0,2.0,-3.0,-21.0,-5.0,-14.0,1.0,12.0
-1.0,1.0,4.0,5.0,-4.0,-2.0,7.0,4.0
103.0,123.0,119.0,100.0,116.0,120.0,127.0,114.0
10.0,-1.0,-6.0,0.0,12.0,74.0,11.0,9.0
-10.0,-1.0,2.0,-7.0,-7.0,-10.0,-9.0,-12.0
4.0,-1.0,-7.0,-5.0,-8.0,-2.0,-2.0,-2.0
127.0,126.0,120.0,116.0,127.0,115.0,121.0,123.0
-1.0,-1.0,-1.0,11.0,-3.0,-14.0,-8.0,1.0
-17.0,-11.0,-4.0,5.0,7.0,16.0,5.0,-11.0
14.0,3.0,4.0,11.0,4.0,8.0,1.0,13.0
127.0,121.0,124.0,120.0,119.0,127.0,125.0,127.0
-20.0,-4.0,-6.0,-5.0,-1.0,-7.0,2.0,-19.0
31.0,2.0,-6.0,-19.0,-9.0,7.0,-5.0,29.0
-16.0,-2.0,-3.0,-5.0,7.0,-3.0,-1.0,-12.0
127.0,125.0,127.0,127.0,127.0,127.0,127.0,124.0
-5.0,-4.0,-6.0,4.0,5.0,-10.0,-2.0,2.0
1.0,4.0,8.0,-18.0,-10.0,3.0,3.0,2.0
-7.0,-5.0,-9.0,-10.0,3.0,-3.0,0.0,-4.0
124.0,125.0,124.0,108.0,127.0,127.0,123.0,126.0
-7.0,-2.0,-2.0,-10.0,-3.0,3.0,-4.0,12.0
4.0,3.0,5.0,16.0,2.0,-9.0,-2.0,4.0
-4.0,-2.0,-6.0,-8.0,0.0,12.0,4.0,-3.0
127.0,127.0,127.0,127.0,123.0,125.0,125.0,120.0
4.0,-1.0,0.0,1.0,1.0,-10.0,-3.0,11.0
-11.0,0.0,-1.0,10.0,7.0,4.0,-3.0,-19.0
6.0,3.0,6.0,-9.0,-14.0,-4.0,3.0,3.0
127.0,127.0,127.0,125.0,127.0,127.0,127.0,125.0
-16.0,-3.0,-7.0,-7.0,-3.0,-7.0,-1.0,-9.0
9.0,-1.0,-4.0,-11.0,-1.0,4.0,-5.0,16.0
-4.0,1.0,3.0,-1.0,2.0,-3.0,1.0,-4.0
127.0,124.0,127.0,127.0,127.0,127.0,127.0,127.0
-2.0,5.0,3.0,7.0,9.0,15.0,1.0,-17.0
-18.0,-2.0,7.0,21.0,-3.0,-22.0,-8.0,-21.0
7.0,-6.0,-2.0,-15.0,-2.0,-1.0,-1.0,-8.0
113.0,127.0,127.0,127.0,127.0,120.0,127.0,121.0
7.0,0.0,2.0,3.0,-8.0,-9.0,0.0,6.0
-14.0,-6.0,-2.0,6.0,6.0,2.0,4.0,-11.0
9.0,4.0,-3.0,-6.0,-2.0,-2.0,-3.0,9.0
112.0,127.0,127.0,127.0,126.0,119.0,122.0,124.0
9.0,-1.0,0.0,-1.0,-2.0,2.0,4.0,9.0
-5.0,-2.0,-6.0,-5.0,2.0,-9.0,3.0,1.0
-3.0,0.0,10.0,34.0,15.0,4.0,-2.0,0.0
127.0,127.0,126.0,127.0,125.0,120.0,122.0,124.0
0.0,-4.0,5.0,-12.0,-1.0,0.0,-2.0,2.0
-7.0,-2.0,2.0,-2.0,-2.0,24.0,8.0,-2.0
