=== mode=sii  iface=eth1  axis=2 ===
slave advertises mbx_proto=0x0004 (CoE=1)
  -> mbx_proto forced to 0 (what hand_ctl/handd/the probe do)
mapped: Obytes=38 Obits=304  Ibytes=152 Ibits=1216  (owords=19)
SM2 after map: start=0x1100 len=38   SM3: start=0x1400 len=152
SAFE_OP: state=0x04 AL=0x0000
OP request (1 kHz throughout, 120 ms): state=0x08 AL=0x0000
telemetry: STA=[2 2 2 2 2 2] ANG=[1805 1786 1789 1782 1375 1048]
           CUR=[0 0 0 0 0 0] ERR=[0 0 0 0 0 0]
ang_start=1789  swinging between 1639 and 1700, enable=1, link held open for 6 s at 1 kHz
end of hold: state=0x08 AL=0x0000  WDcount(procdata)=29 WDstatus=0x0001

max_dANG=0 (moved > 30)  max_CUR=0 mA
verdict: NOTHING - flat and unpowered, same as every earlier run. Mode sii is not the missing piece.
t_ms,target,angleact,cur,sta
3226,1639,1789,0,1
3246,1639,1789,0,1
3266,1639,1789,0,1
3286,1639,1789,0,1
3306,1639,1789,0,1
3326,1639,1789,0,1
3346,1639,1789,0,1
3366,1639,1789,0,1
3386,1639,1789,0,1
3406,1639,1789,0,1
3427,1639,1789,0,1
3447,1639,1789,0,1
3467,1639,1789,0,1
3487,1639,1789,0,1
3507,1639,1789,0,1
3527,1639,1789,0,1
3547,1639,1789,0,1
3567,1639,1789,0,1
3587,1639,1789,0,1
3607,1639,1789,0,1
3627,1639,1789,0,1
3648,1639,1789,0,1
3668,1639,1789,0,1
3688,1639,1789,0,1
3708,1639,1789,0,1
3728,1639,1789,0,1
3748,1639,1789,0,1
3768,1639,1789,0,1
3789,1639,1789,0,1
3809,1639,1789,0,1
3829,1639,1789,0,1
3849,1639,1789,0,1
3869,1639,1789,0,1
3889,1639,1789,0,1
3909,1639,1789,0,1
3929,1639,1789,0,1
3950,1639,1789,0,1
3970,1639,1789,0,1
3990,1639,1789,0,1
4010,1639,1789,0,1
4030,1639,1789,0,1
4051,1639,1789,0,1
4071,1639,1789,0,1
4091,1639,1789,0,1
4111,1639,1789,0,1
4131,1639,1789,0,1
4151,1639,1789,0,1
4171,1639,1789,0,1
4191,1639,1789,0,1
4212,1639,1789,0,1
4232,1639,1789,0,1
4252,1639,1789,0,1
4272,1639,1789,0,1
4292,1639,1789,0,1
4312,1639,1789,0,1
4332,1639,1789,0,1
4352,1639,1789,0,1
4372,1639,1789,0,1
4392,1639,1789,0,1
4412,1639,1789,0,1
4433,1639,1789,0,1
4453,1639,1789,0,1
4473,1639,1789,0,1
4493,1639,1789,0,1
4513,1700,1789,0,1
4534,1700,1789,0,1
4554,1700,1789,0,1
4574,1700,1789,0,1
4594,1700,1789,0,1
4614,1700,1789,0,1
4634,1700,1789,0,1
4654,1700,1789,0,1
4674,1700,1789,0,1
4694,1700,1789,0,1
4714,1700,1789,0,1
4734,1700,1789,0,1
4754,1700,1789,0,1
4774,1700,1789,0,1
4794,1700,1789,0,1
4814,1700,1789,0,1
4834,1700,1789,0,1
4854,1700,1789,0,1
4874,1700,1789,0,1
4894,1700,1789,0,1
4914,1700,1789,0,1
4934,1700,1789,0,1
4954,1700,1789,0,1
4974,1700,1789,0,1
4994,1700,1789,0,1
5014,1700,1789,0,1
5034,1700,1789,0,1
5054,1700,1789,0,1
5074,1700,1789,0,1
5094,1700,1789,0,1
5115,1700,1789,0,1
5135,1700,1789,0,1
5156,1700,1789,0,1
5176,1700,1789,0,1
5197,1700,1789,0,1
5217,1700,1789,0,1
5237,1700,1789,0,1
5257,1700,1789,0,1
5277,1700,1789,0,1
5297,1700,1789,0,1
5317,1700,1789,0,1
5338,1700,1789,0,1
5358,1700,1789,0,1
5379,1700,1789,0,1
5399,1700,1789,0,1
5420,1700,1789,0,1
5440,1700,1789,0,1
5460,1700,1789,0,1
5480,1700,1789,0,1
5500,1700,1789,0,1
5520,1700,1789,0,1
5540,1700,1789,0,1
5561,1700,1789,0,1
5581,1700,1789,0,1
5602,1700,1789,0,1
5622,1700,1789,0,1
5642,1700,1789,0,1
5662,1700,1789,0,1
5682,1700,1789,0,1
5702,1700,1789,0,1
5722,1700,1789,0,1
5743,1700,1789,0,1
5763,1700,1789,0,1
5784,1700,1789,0,1
5804,1700,1789,0,1
5824,1700,1789,0,1
5844,1700,1789,0,1
5864,1700,1789,0,1
5884,1700,1789,0,1
5904,1700,1789,0,1
5925,1700,1789,0,1
5946,1700,1789,0,1
5966,1700,1789,0,1
5986,1700,1789,0,1
